cik	ticker	market_cap
860730	hca	75487549520
16868	cni	74520720000
92122	so	74298938427
821189	eog	74191683623
1156375	cme	73405647179
16875	cp	73357064000
1303523	bti	73334100000
49826	itw	73308485762
1067491	infy	72902780649
1101239	eqix	72839360020
718877	atvi	72204481826
1594805	shop	72015739463
1131399	gsk	71887785319
1393818	bx	71599550442
723125	mu	71474895260
1327567	panw	71086778194
895728	enb	70247250000
1326160	duk	69379093201
1124610	vmw	69019820968
89800	shw	68494102961
1017413	cnq	68146101400
1633917	pypl	67715970837
883241	snps	67476547927
315293	aon	67252370547
1110646	ntes	66748350158
319201	klac	66512948800
1571949	ice	65835411328
891478	san	65498166178
1133421	noc	65232863930
1048911	fdx	64894223971
1091667	chtr	64657846944
2969	apd	64392039863
823768	wm	63975090639
813672	cdns	63476554500
1099590	meli	62588786209
1022837	smfg	62258603221
277948	csx	61915345559
917851	vale	61743249278
40533	gd	61530143375
1059556	mco	61422955000
929869	relx	61314899768
1001838	scco	61060075290
21665	cl	60877564196
1648416	race	60758171785
865752	mnst	60452282536
1048286	mar	60402462745
1075124	tri	59908846744
1129137	amx	59842125000
927971	bmo	59794320946
49071	hum	59554540320
844150	nwg	57740391672
1061219	epd	57689722470
66740	mmm	57473451812
1605484	stla	57326921387
1510295	mpc	57189694185
927653	mck	57117667692
27419	tgt	56970302909
1596532	anet	56331291435
898173	orly	56307202515
32604	emr	56075580000
1001250	el	55895822041
831259	fcx	55854444028
1132597	itub	55589447423
9631	bns	55343680709
36104	usb	55217415941
1002242	e	55125916940
1038357	pxd	55119231392
797468	oxy	55062600709
715153	hmc	54533939349
1039765	ing	53923026218
1549802	jd	53132701100
882835	rop	52890189980
76334	ph	52469364565
1058090	cmg	52396325743
1404912	kkr	52217588210
820313	aph	51682735201
31462	ecl	51571186422
1413447	nxpi	51361919157
806968	wpp	51183771226
723254	ctas	50778197177
1534701	psx	50375423295
354190	ajg	49325013280
1650372	team	49262659472
1327811	wday	48914100000
1393311	psa	48753994332
1640147	snow	48477625000
1260221	tdg	48419289398
1329099	bidu	47989405327
16918	stz	47988452419
702165	nsc	47945626502
874761	aesc	47878476003
842180	bbva	47758523187
37996	f	47626484664
1858681	apo	47407917557
1395064	tak	47379025406
1004980	pcg	47260440413
713676	pnc	47157326476
4447	hes	47100091545
1418135	kdp	47087641241
1099219	met	47023963486
68505	msi	46912474236
1783180	carr	46546983848
844551	wds	46519369390
1466258	tt	46504072800
1035002	vlo	46472287008
769397	adsk	46397868301
1099800	ew	46219876289
1262039	ftnt	46099278202
1060391	rsg	46006449513
