Symbol,cik
sln,1479615
slrn,1962918
smfl,1851860
smx,1940674
snal,1886894
sndl,1766600
snt,896494
sntg,1810467
snti,1854270
sny,1121404
sobr,1425627
sohu,1734107
solo,1637736
soph,1840706
soun,1840856
spcb,1291855
spgc,1934245
spns,885740
sppl,1948697
sprc,1611746
spry,1671858
sptn,877422
srad,1836470
srbk,1951276
srm,1956744
ssys,1517396
stbx,1914818
stcn,914712
stho,1953366
stix,1896049
stkh,1828098
stne,1745431
stss,1737995
surg,1392694
svre,1894693
svvc,1495584
swag,1872525
swin,1959224
swvl,1875609
sxtc,1723980
sxtp,1946563
sy,1758530
sym,1837240
syt,1946216
syta,1649009
tanh,1588084
taop,1552670
tatt,808439
tbio,1850079
tbla,1840502
tbld,1820378
tc,1743340
tcbp,1872812
tcjh,1938865
tcom,1269238
team,1650372
tectp,1766526
tedu,1592560
tfin,1539638
tgl,1905956
thcp,1843993
thrd,1923840
thtx,1512717
tigo,912958
tigr,1756699
tio,854800
tirx,1782941
tklf,1836242
tlsa,1723069
tlsi,1826667
tmpo,1813658
tnon,1560293
top,1848275
tops,1296484
toro,1941131
tour,1597095
tpg,1880661
trib,888721
trmd,1655891
trmr,1849396
trnr,1785056
troo,1412095
trvg,1683825
tsat,1845840
tsbx,1764974
tsem,928876
ttnp,910267
turb,1963439
txmd,25743
tygo,1855447
ucar,1939780
ucl,1775898
uhg,1830188
uk,1821424
upbd,933036
upc,1809616
uptd,1844417
uroy,1711570
usea,1912847
usgo,1947244
utsi,1030471
uxin,1729173
valn,1836564
vani,1266806
vblt,1603207
vbnk,1690639
vcig,1930510
vcxa,1848898
vedu,1892274
veee,1855509
veon,1468091
vev,1834975
vfsww,1913510
vgas,1841425
vinp,1826286
viot,1742770
vivk,1450704
vjet,1582581
vmar,1813783
vnet,1508475
vnom,1602065
vod,839923
voxr,1907909
vqs,1777765
vrax,1885827
vs,1701963
vsta,1792829
vtru,1805012
vvpr,1681348
wafu,1716770
wald,1840199
wave,1846715
wavs,1868419
wb,1595761
west,1806347
wetg,1784970
wgs,1818331
wilc,1030997
wimi,1770088
wix,1576789
wkey,1738699
wkme,1847584
wlds,1887673
wlgs,1899658
wnw,1787803
wprt,1370416
wrnt,1900564
wtma,1866226
wto,1789299
xnet,1510593
xp,1787425
xpon,1894954
xrtx,1729214
xtlb,1023549
xwel,1410428
ygf,1875496
yi,1738906
yj,1759614
yosh,1898604
yota,1907730
yq,1821468
ytra,1516899
yy,1530238
zapp,1955104
zcmd,1785566
zenv,1836934
zfox,1823575
zimv,1876588
zjyl,1837821
zkin,1687451
ztek,1904501
zura,1855644
zvra,1434647
zvsa,1859007
zyme,1937653
